building_id,source,sink_id,est_depth_m,lon,lat,x,y
osm_6809,osm,189,1.9442034932663894,133.68146294999698,34.61132650001577,379111.3387230534,3830732.207696653
osm_8943,osm,189,0.03241641054771982,133.68135424999937,34.61575465000598,379107.7932028981,3831223.4182749335
osm_10127,osm,189,1.6220522461143165,133.68160818066838,34.61109337011308,379124.3169119779,3830706.1796004106
osm_10097,osm,189,1.096961839585509,133.6817056540713,34.61117308537095,379133.3698011965,3830714.903163982
osm_10072,osm,189,1.8858593268644785,133.68222656659032,34.609310931870354,379178.4339599914,3830507.766936539
osm_6810,osm,189,0.5060686207535028,133.68148408682305,34.611215922823966,379113.11643251556,3830719.9193925424
osm_10669,osm,189,1.029665107126652,133.6809129002651,34.615834825382876,379067.44442285347,3831232.8389217225
osm_6813,osm,189,0.7965184910784355,133.68145010974067,34.611883130093354,379110.9684607841,3830793.95314843
osm_6812,osm,189,0.8518694588249183,133.6815235442065,34.611734020287805,379117.48541834526,3830777.3289013966
osm_6811,osm,189,1.7605754628538577,133.68154944999839,34.61103760001161,379118.8510444043,3830700.065114147
osm_6789,osm,189,1.586394605358084,133.68231927114826,34.610636310534595,379188.8545374881,3830654.639804348
osm_8948,osm,189,2.7216743572345674,133.68073011906677,34.615837425583145,379050.6899432111,3831233.346508051
osm_8947,osm,189,1.5764261518717149,133.68077909999627,34.61575355003317,379055.0590624193,3831223.985985188
osm_8946,osm,189,2.4864837020477335,133.68078929122098,34.615529163026864,379055.66790841415,3831199.089311704
osm_10128,osm,189,0.5255718025408704,133.6816129950974,34.61119807642611,379124.91013987554,3830717.7857182845
osm_8944,osm,189,1.0922199826481176,133.6811957751207,34.61577340438238,379093.29065712896,3831225.688136132
osm_8945,osm,189,1.1683907702562912,133.68108782991044,34.61580046044349,379083.43296201946,3831228.818081161
osm_8941,osm,189,2.8286858296225272,133.68078752931632,34.61602848318332,379056.2307725985,3831254.4658778566
osm_11053,osm,189,1.1639085678279368,133.6811534248204,34.615833256135,379089.4945847118,3831232.3764575436
osm_6814,osm,189,1.1778976516591264,133.68137649797154,34.612078203464684,379104.5019183156,3830815.6749556856
