building_id,source,sink_id,est_depth_m,lon,lat,x,y
osm_2068,osm,7,6.031632817733453,135.26691685694806,34.72907039794966,524436.6448295859,3843031.099919336
osm_2072,osm,7,0.0,135.26649937713398,34.72886412006764,524398.4844327496,3843008.1240613023
osm_27,osm,63,1.169583033386771,135.25202103932705,34.7090296577092,523078.47436473065,3840805.234907311
osm_17334,osm,63,0.43067324175948984,135.2621735000006,34.7086038500095,524008.2970422852,3840760.391986238
osm_17346,osm,63,0.38957041324492314,135.26215541509976,34.70919942237981,524006.4688643566,3840826.4314609612
osm_17345,osm,63,0.3647429856339923,135.26215608114927,34.70915227792661,524006.5434774851,3840821.203710312
osm_17344,osm,63,0.3355994664855859,135.26214307243785,34.7091001717546,524005.36727489147,3840815.4224858102
osm_17343,osm,63,0.2216906560132732,135.26224093730644,34.7090538681962,524014.342510742,3840810.3111761766
osm_17342,osm,63,0.301732990628754,135.26222580906742,34.70898582281725,524012.9768244411,3840802.7619256587
osm_17341,osm,63,0.38727626316232744,135.26211147259255,34.70902634390995,524002.4948842322,3840807.2280822266
osm_17340,osm,63,0.39449663158095216,135.26221240000083,34.70892985000441,524011.765078646,3840796.551828147
osm_17339,osm,63,0.6670811753153894,135.26221659342593,34.70885235222024,524012.1714820903,3840787.9589994363
osm_17338,osm,63,0.40435863563349006,135.2620954274859,34.70885600496831,524001.07477327343,3840788.335149548
osm_17337,osm,63,0.6090016352736849,135.26222715000165,34.7087355500173,524013.17194454535,3840775.009171686
osm_17336,osm,63,0.508098711715292,135.26208063992354,34.708749875706665,523999.751269398,3840776.562811723
osm_17335,osm,63,0.6517293164925593,135.26223487417835,34.70866854618878,524013.8986432665,3840767.58087417
osm_17333,osm,63,0.6224934177319827,135.26204979999181,34.708618099991604,523996.96518452885,3840761.942677756
osm_17382,osm,63,0.3619596732223851,135.26331044457362,34.70988127475091,524112.0412672448,3840902.3191369465
osm_17332,osm,63,0.7432621818226086,135.26223248027443,34.70847291335865,524013.73595939286,3840745.8863267237
osm_17331,osm,63,0.6313385451585938,135.26208864972645,34.70846574842026,524000.5668254076,3840745.057481912
osm_17330,osm,63,0.45284913604934696,135.2621399092116,34.708534190439714,524005.2411129294,3840752.6593328724
osm_17329,osm,63,0.7067372913449126,135.26208734999975,34.708356850007036,524000.47925670934,3840732.9812871716
osm_17328,osm,63,0.9517972821178691,135.26198642282336,34.70837338965025,523991.2321177875,3840734.791321243
osm_17327,osm,63,0.2609455033798582,135.2620472000007,34.70938800000473,523996.50475309725,3840847.3172659418
osm_17326,osm,63,0.4202330614880747,135.2619388222993,34.7093261908497,523986.5980765699,3840840.4373275046
osm_17325,osm,63,0.43804667519428664,135.26203975000016,34.709319300002704,523995.8423703601,3840839.697256751
osm_17324,osm,63,0.4732871396579408,135.26202835000018,34.70925455000272,523994.8171301736,3840832.5143266045
osm_17323,osm,63,0.42091640569630195,135.26200690000016,34.70919830000272,523992.8691186931,3840826.271576251
osm_17322,osm,63,0.31448372413964476,135.26192174999986,34.709242400003134,523985.0588926973,3840831.1415821216
osm_17321,osm,63,0.39759153322315566,135.26187109998196,34.70899049998111,523980.4933855317,3840803.195990288
osm_17320,osm,63,0.4503868630765204,135.26194520937764,34.70889842244894,523987.30645106034,3840793.0030581574
osm_17319,osm,63,0.5429173771519933,135.26192542774268,34.708795911238326,523985.5245582865,3840781.6307422114
osm_17347,osm,63,0.36543800711124597,135.2622835000012,34.7091385000102,524018.2156760173,3840819.7062664703
osm_17348,osm,63,0.2944125301492697,135.26229220000477,34.70921870001494,524018.9891850076,3840828.601825748
osm_17349,osm,63,0.29535650960681803,135.26218959096,34.70932177740673,524009.5631183416,3840840.0077230227
osm_17350,osm,63,0.16144942991016276,135.26228314999912,34.70932345000067,524018.13016499614,3840840.2155274875
osm_17380,osm,63,0.5098940824228269,135.26331312523297,34.709759987228566,524112.32193951437,3840888.870046816
osm_17379,osm,63,0.46133704555886057,135.26337180667554,34.709838825211975,524117.6726941973,3840897.626558018
osm_17378,osm,63,0.5662174839161005,135.26337112522927,34.70976908850096,524117.6305335486,3840889.8931992943
osm_17377,osm,63,0.5674935528566833,135.26337918183216,34.70970211472592,524118.3877410543,3840882.468320694
osm_17376,osm,63,0.29178593904701744,135.26345092519628,34.70993444429473,524124.8900481027,3840908.248850517
osm_17375,osm,63,0.42092859858854226,135.26347607520313,34.70984794042771,524127.21822394454,3840898.662353346
osm_17374,osm,63,0.531604515766583,135.2634790931908,34.70977737479111,524127.515080341,3840890.8379609496
osm_17373,osm,63,0.5755157871150027,135.2634854500002,34.70970654999764,524128.11775866087,3840882.9856310277
osm_17372,osm,63,0.3155594647824893,135.26355420000107,34.70982394998276,524134.379309481,3840896.0207573376
osm_17371,osm,63,0.2810175088090219,135.26365275000109,34.70982919998268,524143.40229977877,3840896.6265789615
osm_17370,osm,63,0.315985333069996,135.26360681061928,34.70971064238218,524139.2299372572,3840883.4685490625
osm_17369,osm,63,0.11526470193900895,135.26220209223882,34.71027282201119,524010.4330847525,3840945.4732865253
osm_17368,osm,63,0.16714856377606369,135.2620981609826,34.71026212514086,524000.91893304844,3840944.262300608
osm_17367,osm,63,0.21883649824632823,135.26201524999968,34.71026324999867,523993.3262440111,3840944.367263749
osm_17366,osm,63,0.156739784648515,135.26210047470104,34.7101774955898,524001.1552518346,3840934.8781702425
osm_17364,osm,63,0.3332027688435151,135.26248249999858,34.710190499998426,524036.13452923764,3840936.41143873
osm_17363,osm,63,0.11736570657912804,135.2623009247258,34.71011279424647,524019.5296799377,3840927.7511856654
